binding_site_name,enzyme_name,binding_site_ranking,mainclass,subclass,subsubclass,designation,atoms,dataset,dates,centers,uniq_fold,uniq_sub,uniq_subsub,uniq_designation
1,TopM_P11987,1,1,14,13,25,290,2021,21/10/1996,"(87.866, 162.486, 104.695)",2141,14,268,1502
1,TopM_P27355,1,1,14,13,25,322,2021,21/10/1996,"(107.527, 147.188, 125.969)",2141,14,268,1502
1,TopM_Q8R536,1,1,1,1,153,554,2021,26/03/1998,"(-44.794, 41.662, 34.691)",448,29,191,2882
1,TopM_Q7ZY31,1,1,1,1,153,555,2021,26/03/1998,"(-67.173, 46.805, 60.124)",448,29,191,2882
1,TopM_B0BML7,1,1,1,1,153,552,2021,26/03/1998,"(13.104, 15.371, -28.196)",448,29,191,2882
1,TopM_Q0KBD2,1,1,1,1,410,493,2021,15/06/1999,"(28.683, 77.838, 2.439)",2480,29,191,445
1,TopM_P16099,1,1,5,8,2,656,2021,03/12/1999,"(6.863, -9.95, 27.1)",1903,15,73,2650
1,TopM_P0C0F4,1,1,1,1,22,633,2021,09/12/1999,"(-21.252, -1.889, 60.061)",139,29,191,802
1,TopM_P0DG69,1,1,1,1,22,629,2021,09/12/1999,"(-19.535, 11.448, 59.389)",139,29,191,802
1,TopM_Q8NKX0,1,1,1,1,22,630,2021,09/12/1999,"(-19.118, 8.855, 58.094)",139,29,191,802
1,TopM_Q2W015,1,1,1,1,94,509,2021,20/04/2000,"(34.625, 16.966, -22.569)",3400,29,191,1166
1,TopM_Q1PSI9,1,1,1,1,366,538,2021,19/06/2000,"(54.619, 12.348, 81.125)",3202,29,191,2402
1,TopM_Q9FJ95,1,1,1,1,-,535,2021,19/06/2000,"(70.093, 10.636, 76.059)",3202,29,191,2115
1,TopM_Q9T0P4,1,1,4,7,1,641,2021,02/11/2000,"(107.537, 121.495, 119.812)",2678,42,137,2364
1,TopM_E1V8I1,1,1,4,1,13,639,2021,02/11/2000,"(89.942, 141.064, 125.574)",2678,42,215,1254
1,TopM_P85335,1,1,11,1,7,127,2021,08/05/2001,"(37.995, 44.636, 13.223)",2942,73,90,128
1,TopM_P50650,1,1,17,4,1,656,2021,10/07/2001,"(5.862, 20.082, 34.007)",2586,10,6,1822
1,TopM_P50649,1,1,17,4,1,665,2021,10/07/2001,"(8.751, 50.041, 42.004)",2586,10,6,1822
1,TopM_Q9QTF2,1,1,17,4,1,673,2021,10/07/2001,"(12.489, 10.185, 36.455)",2586,10,6,1822
1,TopM_P28766,1,1,15,1,1,108,2021,02/10/2001,"(-33.909, -9.829, -21.419)",2171,67,234,1494
1,TopM_P28767,1,1,15,1,1,138,2021,02/10/2001,"(-31.247, -9.243, -7.917)",2171,67,234,1494
1,TopM_P07771,1,1,18,1,3,495,2021,09/01/2002,"(89.997, 79.401, 147.127)",3722,31,111,1915
