,Unnamed: 0,binding_site_name,enzyme_name,binding_site_ranking,mainclass,subclass,subsubclass,designation,atoms,dataset,dates,centers,uniq_fold,uniq_sub,uniq_subsub,uniq_designation
0,0,1,2TPI,1,3,4,21,4,1405,2020,26/10/1981,"(19.524, 63.954, 13.54)",1462,24,158,2942
1,1,1,4TLN,1,3,4,24,27,1704,2020,08/02/1982,"(52.768, 18.436, -4.31)",1445,24,265,1772
2,2,1,5TLN,1,3,4,24,27,1577,2020,08/02/1982,"(53.409, 15.983, -3.524)",1445,24,265,1772
3,3,1,3CPA,1,3,4,17,1,1790,2020,24/03/1982,"(-3.036, 29.186, -5.95)",1438,24,21,1148
4,4,1,3DFR,1,1,5,1,3,1206,2020,25/06/1982,"(2.459, 32.027, 21.537)",16,15,45,2511
5,5,1,4DFR,1,1,5,1,3,1253,2020,25/06/1982,"(14.724, 49.464, 22.59)",16,15,45,2511
6,6,1,3PTB,1,3,4,21,4,1296,2020,27/09/1982,"(-1.759, 14.461, 16.916)",4437,24,158,2942
7,7,1,2CTS,1,4,1,3,7,2425,2020,27/01/1984,"(14.634, -6.115, -0.397)",2049,34,174,1015
8,8,1,2PKA,1,3,4,21,35,1818,2020,21/05/1984,"(33.949, 78.381, 93.764)",4437,24,158,390
9,9,1,7CAT,1,1,11,1,6,1524,2020,15/11/1984,"(-73.069, 53.912, 110.801)",155,73,90,1264
10,10,1,8CAT,1,1,11,1,6,1522,2020,15/11/1984,"(-73.089, 53.922, 110.79)",155,73,90,1264
11,11,1,2EST,1,3,4,21,36,1226,2020,24/03/1986,"(13.786, 47.785, -1.009)",4437,24,158,2541
12,12,1,2CPP,1,1,14,15,1,2124,2020,06/04/1987,"(46.218, 44.319, 13.913)",1405,14,4,1577
13,13,1,1GD1,1,1,2,1,12,1987,2020,22/06/1987,"(6.798, -9.82, 19.918)",1971,20,69,1284
14,14,1,2TMN,1,3,4,24,27,1701,2020,29/06/1987,"(52.828, 18.245, -3.981)",1445,24,265,1772
15,15,1,4TMN,1,3,4,24,27,1613,2020,29/06/1987,"(51.235, 18.264, -6.981)",1445,24,265,1772
16,16,1,5TMN,1,3,4,24,27,1580,2020,29/06/1987,"(51.002, 17.314, -6.193)",1445,24,265,1772
17,17,1,1TLP,1,3,4,24,27,1506,2020,29/06/1987,"(51.64, 15.517, -5.145)",1445,24,265,1772
18,18,1,1TMN,1,3,4,24,27,1495,2020,29/06/1987,"(51.697, 15.443, -4.23)",1445,24,265,1772
19,19,1,6TMN,1,3,4,24,27,1583,2020,29/06/1987,"(50.995, 17.332, -6.134)",1445,24,265,1772
20,20,1,3TMN,1,3,4,24,27,1702,2020,29/06/1987,"(53.363, 18.191, -2.667)",1445,24,265,1772
21,21,1,1RNT,1,3,1,27,3,746,2020,10/07/1987,"(17.41, 33.654, 21.334)",1430,63,192,1608
22,22,1,1TRM,1,3,4,21,4,1327,2020,21/10/1987,"(-0.08, 31.161, 84.697)",4437,24,158,2942
23,23,1,1PHH,1,1,14,13,2,1995,2020,04/11/1987,"(22.82, 96.826, 58.261)",1989,14,268,2316
24,24,1,1LDM,1,1,1,1,27,1864,2020,25/11/1987,"(8.658, 25.047, 9.398)",4035,29,191,2816
25,25,1,4PFK,1,2,7,1,11,1814,2020,25/01/1988,"(5.424, 22.193, 9.151)",1416,23,148,593
26,26,1,1PFK,1,2,7,1,11,1749,2020,25/01/1988,"(-0.224, 10.653, -25.067)",1416,23,148,593
27,27,1,3GRS,1,1,8,1,7,2407,2020,05/02/1988,"(81.85, 36.101, 19.15)",2381,17,246,1576
28,28,1,2RNT,1,3,1,27,3,750,2020,06/07/1988,"(20.644, 39.16, 20.984)",1430,63,192,1608
29,29,1,7DFR,1,1,5,1,3,1022,2020,21/10/1988,"(16.893, 28.406, 27.302)",16,15,45,2511
30,30,1,6DFR,1,1,5,1,3,896,2020,21/10/1988,"(17.543, 15.066, 25.765)",16,15,45,2511
31,31,1,4MDH,1,1,1,1,37,1837,2020,12/04/1989,"(20.782, 33.823, 42.431)",1774,29,191,1198
32,32,1,4TS1,1,6,1,1,1,1884,2020,29/06/1989,"(14.266, 4.556, 27.941)",1458,2,127,1681
33,33,1,5XIA,1,5,3,1,5,2570,2020,05/07/1989,"(42.438, 38.209, 1.18)",2713,40,40,1556
34,34,1,3CPP,1,1,14,15,1,2129,2020,05/07/1989,"(45.888, 43.951, 14.139)",1405,14,4,1577
35,35,1,4XIA,1,5,3,1,5,2560,2020,05/07/1989,"(42.342, 37.479, 1.268)",2713,40,40,1556
36,36,1,1SNC,1,3,1,31,1,949,2020,21/07/1989,"(4.352, 15.458, 24.043)",4580,63,16,706
37,37,1,4HVP,1,3,4,23,16,1326,2020,08/08/1989,"(5.209, -2.159, 14.548)",1502,24,96,1093
38,38,1,8ATC,1,2,1,3,2,2239,2020,25/08/1989,"(42.503, 32.768, 62.652)",1515,50,1,939
39,39,1,3CA2,1,4,2,1,1,1796,2020,02/10/1989,"(-5.243, 2.465, 14.796)",97,57,267,46
40,40,1,1ER8,1,3,4,23,22,1210,2020,16/10/1989,"(4.164, 23.098, 24.61)",1463,24,96,430
41,41,1,5CTS,1,4,1,3,7,1886,2020,16/11/1989,"(15.692, -9.755, 9.965)",2049,34,174,1015
42,42,1,6CTS,1,4,1,3,7,2427,2020,16/11/1989,"(-0.0, -9.483, 0.0)",2049,34,174,1015
43,43,1,5ACN,1,4,2,1,3,1867,2020,16/01/1990,"(76.118, 41.343, 29.8)",3702,57,267,1031
44,44,1,6ACN,1,4,2,1,3,1862,2020,16/01/1990,"(76.262, 41.511, 30.007)",3702,57,267,1031
45,45,1,1FCB,1,1,1,2,3,2399,2020,16/01/1990,"(42.479, 70.567, -29.954)",1404,29,260,120
46,46,1,6CPA,1,3,4,17,1,1576,2020,15/02/1990,"(46.404, 20.554, 36.448)",1438,24,21,1148
47,47,1,1SNM,1,3,1,31,1,953,2020,15/02/1990,"(4.466, 15.629, 24.373)",4580,63,16,706
48,48,1,4GR1,1,1,8,1,7,1892,2020,26/03/1990,"(60.698, 51.137, 19.126)",2381,17,246,1576
49,49,1,5P21,1,3,6,5,2,1598,2020,30/04/1990,"(17.421, 30.175, -0.0)",2762,55,201,2598
50,50,1,2CSC,1,4,1,3,7,1890,2020,07/05/1990,"(15.685, -9.755, 9.914)",2049,34,174,1015
51,51,1,1CSC,1,4,1,3,7,1890,2020,07/05/1990,"(15.681, -9.696, 9.905)",2049,34,174,1015
