enzyme_name,centers,plddt_res,plddt_atom,representative,enzyme_class,mainclass,subclass,subsubclass,designation,uniq_designation,uniq_fold,hierarchical
AF_A5CEJ6,"(-3.5083, 2.78, -3.8428)",91.90243076923078,91.94514330585002,B1AJ89,3.6.4.12,3,6,4,12,2641,2,0
AF_O88643,"(1.4382, 1.3273, -6.6638)",73.60319266055045,73.77693048379521,Q2VWQ3,2.7.11.1,2,7,11,1,1648,12,1
AF_B1HVA4,"(12.4737, 11.675, -8.1434)",85.51048543689319,85.66877885783718,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_Q54MH0,"(2.9096, 5.8753, -3.1366)",58.17995994659545,58.81995738878474,Q54VI1,2.7.11.1,2,7,11,1,1648,21,1
AF_A4XT24,"(0.7297, -3.4255, 4.2489)",94.21073863636364,94.09802565930148,A2RNH9,2.7.7.7,2,7,7,7,1763,28,2
AF_B0SXC3,"(-5.0216, -7.8997, 1.6899)",91.7990692124105,92.20257822277848,Q5E424,6.1.1.1,6,1,1,1,3234,46,3
AF_O61460,"(1.3018, -4.349, -4.5648)",73.78379679144386,74.3111880400182,P21709,2.7.10.1,2,7,10,1,1646,90,4
AF_A3CM39,"(-3.0584, 1.5213, 2.5815)",93.7844099378882,93.81891129032256,Q4JCM0,1.18.1.2,1,18,1,2,532,104,5
AF_Q5FQC5,"(-10.4754, -7.9293, -1.6497)",87.79485000000001,88.7166553133515,Q7MA70,3.6.4.12,3,6,4,12,2641,15,0
AF_Q10752,"(10.0889, -3.7909, -13.2148)",76.10807582938388,75.88236749530958,Q54MH3,3.6.4.13,3,6,4,13,2642,122,6
AF_Q8Y4B2,"(-1.8148, -2.9664, 2.2277)",98.05937046004844,98.06196035242291,Q03Y25,2.1.2.1,2,1,2,1,1075,138,7
AF_P70789,"(2.045, 0.7345, -10.4577)",95.29618143459916,95.35069904548008,P70789,2.7.1.40,2,7,1,40,1614,142,8
AF_P26885,"(1.7005, 4.587, 1.1856)",89.70105633802817,89.86475887170154,P32472,5.2.1.8,5,2,1,8,3108,154,9
AF_Q63F14,"(0.9161, -5.5299, -13.8172)",80.3860625,80.3341158059468,C1L1G4,2.7.11.1,2,7,11,1,1648,161,1
AF_Q72L16,"(-36.8109, -21.7152, 9.1957)",92.39269801980195,92.51231382163652,Q5WEN8,5.2.1.8,5,2,1,8,3108,173,9
AF_Q2QNM1,"(-4.1035, 9.1348, -9.6555)",81.15055172413793,81.33948740377886,P38132,3.6.4.12,3,6,4,12,2641,179,0
AF_Q556F2,"(6.0655, 5.9333, -1.853)",96.6071176470588,96.59104565537557,P00720,3.2.1.17,3,2,1,17,2093,185,10
AF_Q2RZ59,"(7.5543, 1.6549, -6.495)",88.33197424892703,88.79283852691218,A0LDT4,3.4.21.92,3,4,21,92,2314,189,11
AF_B8NMR5,"(-20.366, -4.8667, -3.5606)",94.4695828220859,94.79717170085608,B0XPB8,3.2.1.21,3,2,1,21,2112,211,12
