Unnamed: 0,enzyme,centers,plddt_res,plddt_atom,representative,enzyme_class,mainclass,subclass,subsubclass,designation,uniq_designation,uniq_fold,hierarchical,enzyme_name
204125,Q7TZN3,"(3.5505, 13.1546, -12.3255)",82.90763250883393,83.27874296435272,P9WI77,2.7.11.1,2,7,11,1,51,7779,51,AF_Q7TZN3
163931,Q61161,"(-14.6036, 5.4197, 12.5713)",75.14813641900122,75.74875525128364,Q61161,2.7.11.1,2,7,11,1,51,3495,51,AF_Q61161
94299,Q8NU97,"(-4.5761, 8.8773, -13.1448)",74.49735607675905,75.19424328147102,Q8NU97,2.7.11.1,2,7,11,1,51,8167,51,AF_Q8NU97
1383,Q96287,"(6.5413, -6.3591, -9.4812)",79.55654661016949,80.27823087248322,Q96287,2.7.11.1,2,7,11,1,51,806,51,AF_Q96287
140871,Q58D94,"(-9.2345, -5.3428, 1.6774)",76.46152380952381,77.41753579043558,Q9BUB5,2.7.11.1,2,7,11,1,51,3639,51,AF_Q58D94
180152,P80197,"(14.16, -8.0215, -3.8027)",83.80397557666214,84.78732305536089,P80197,2.7.11.1,2,7,11,1,51,10767,51,AF_P80197
9785,O49839,"(-1.6263, 9.2523, -7.6776)",78.67384976525821,79.23581595092026,Q9SII6,2.7.11.1,2,7,11,1,51,2482,51,AF_O49839
170043,Q96PY6,"(2.0151, 7.0314, -11.0832)",57.04509538950715,57.9606863917115,P51954,2.7.11.1,2,7,11,1,51,9848,51,AF_Q96PY6
49881,Q9UL54,"(6.2761, 11.6782, -17.7825)",66.37469635627531,67.16588634261639,Q6GPK9,2.7.11.1,2,7,11,1,51,4684,51,AF_Q9UL54
200968,P0A0H7,"(12.5216, -4.5654, -9.866)",81.11220125786164,80.78396825396824,C1L1G4,2.7.11.1,2,7,11,1,51,161,51,AF_P0A0H7
47400,Q7TPK6,"(-13.2644, 3.8941, 4.9101)",57.37509819967266,58.76912180999357,Q7TPK6,2.7.11.1,2,7,11,1,51,5996,51,AF_Q7TPK6
31478,O61267,"(-1.2323, -5.9398, 2.1653)",80.61720588235295,81.01990291262135,O61267,2.7.11.1,2,7,11,1,51,4858,51,AF_O61267
74584,P0CP72,"(3.1114, 6.1226, -6.0144)",85.54487889273356,85.74385374607446,Q54W07,2.7.11.1,2,7,11,1,51,1360,51,AF_P0CP72
68440,A5N217,"(3.5384, -5.8857, -7.3395)",94.70535211267604,94.65971971066908,A5N217,2.7.11.1,2,7,11,1,51,2106,51,AF_A5N217
76201,A6ZU07,"(10.3435, 1.5226, -0.8397)",63.79928651059086,64.38435997764114,Q8TFN2,2.7.11.1,2,7,11,1,51,2397,51,AF_A6ZU07
194339,B1WAR9,"(-6.986, 2.6852, 5.5627)",54.995101123595504,55.72962651997684,Q6NTJ3,2.7.11.1,2,7,11,1,51,3715,51,AF_B1WAR9
8696,Q9LK43,"(-6.2809, -2.2171, 4.6041)",80.73571120689654,81.47773244242251,Q9LK43,2.7.11.1,2,7,11,1,51,2433,51,AF_Q9LK43
119718,Q54VD8,"(5.5027, 5.0932, -0.0416)",72.5187456445993,72.90057390936045,O42650,2.7.11.1,2,7,11,1,51,3420,51,AF_Q54VD8
154532,Q550L8,"(-14.3647, 1.2049, 1.0243)",61.11680412371134,62.3196827936747,Q550L8,2.7.11.1,2,7,11,1,51,10112,51,AF_Q550L8
221536,G5ECQ3,"(-11.7972, 4.0381, 5.2072)",53.05467966573816,53.75467544796488,G5ECQ3,2.7.11.1,2,7,11,1,51,11660,51,AF_G5ECQ3
134103,Q2LZZ7,"(2.5945, 11.3634, 1.0298)",81.14589519650654,81.57041621911922,Q54IH8,2.7.11.1,2,7,11,1,51,8334,51,AF_Q2LZZ7
14914,Q9MAM1,"(-2.0998, -2.4208, -0.2551)",81.9455033557047,82.21702900591383,Q2RBF0,2.7.11.1,2,7,11,1,51,782,51,AF_Q9MAM1
41028,O14328,"(-10.8542, 7.3225, 4.6818)",69.27196202531647,70.03121614445034,O14328,2.7.11.1,2,7,11,1,51,5594,51,AF_O14328
181159,P36616,"(-11.3678, -3.3735, 4.28)",75.53996323529412,76.77006502554576,Q9UPE1,2.7.11.1,2,7,11,1,51,2238,51,AF_P36616
13695,A6QGC0,"(-15.9045, 7.9611, 18.001)",84.61222891566266,84.69862115127175,A0QNG1,2.7.11.1,2,7,11,1,51,3159,51,AF_A6QGC0
92683,Q6ZWH5,"(-9.4917, 8.7707, 19.4958)",70.1773976109215,70.73346198955113,P84199,2.7.11.1,2,7,11,1,51,6591,51,AF_Q6ZWH5
56131,I1RNG8,"(-11.0709, -10.435, 4.4773)",65.11558262711864,66.03739249520679,A2QIL5,2.7.11.1,2,7,11,1,51,1716,51,AF_I1RNG8
196453,Q54RP7,"(3.0156, -1.0976, -6.3743)",59.32486656200943,60.75157339821573,Q54RP7,2.7.11.1,2,7,11,1,51,11116,51,AF_Q54RP7
168223,P49674,"(7.9327, 3.9318, -1.3314)",79.83733173076924,81.00058258258258,B9VVJ6,2.7.11.1,2,7,11,1,51,3329,51,AF_P49674
224710,P9WI76,"(3.4807, 1.7382, -15.0215)",83.4159187279152,83.74978888106968,P9WI77,2.7.11.1,2,7,11,1,51,7779,51,AF_P9WI76
94734,Q9ZR79,"(-18.6296, -11.4368, 32.2196)",84.75790591805766,84.73222372227579,O04534,2.7.11.1,2,7,11,1,51,705,51,AF_Q9ZR79
34274,P13185,"(-14.1357, 1.5455, -8.2058)",62.6951879699248,63.57086405120303,P13186,2.7.11.1,2,7,11,1,51,5089,51,AF_P13185
